Station,Language,Date,Time,URL_audio,URL_text,audio_file,pdf_file,audio_dur
aizawl,mizo,2025-06-23,730,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Aizawl-2.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/aizwal-16.pdf,../data/raw/audio/mizo_aizawl_2025-06-23_730.mp3,../data/raw/text/mizo_aizawl_2025-06-23_730.pdf,10.87
bengaluru,kannada,2025-06-23,1430,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bANG1430.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Bang1430-2.pdf,../data/raw/audio/kannada_bengaluru_2025-06-23_1430.mp3,../data/raw/text/kannada_bengaluru_2025-06-23_1430.pdf,10.03
bhopal,hindi,2025-06-23,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Bhopal-6.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhopal-7.pdf,../data/raw/audio/hindi_bhopal_2025-06-23_710.mp3,../data/raw/text/hindi_bhopal_2025-06-23_710.pdf,9.87
bhuj,gujarati,2025-06-23,650,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhuj-650-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhuj-650-5.pdf,../data/raw/audio/gujarati_bhuj_2025-06-23_650.mp3,../data/raw/text/gujarati_bhuj_2025-06-23_650.pdf,4.78
calicut,malayalam,2025-06-23,645,https://www.newsonair.gov.in/wp-content/uploads/2025/06/calicut65.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/calicut-15.pdf,../data/raw/audio/malayalam_calicut_2025-06-23_645.mp3,../data/raw/text/malayalam_calicut_2025-06-23_645.pdf,10.0
chandigarh,hindi,2025-06-23,1305,https://www.newsonair.gov.in/wp-content/uploads/2025/06/chandigarh1305-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/chandigarh1305-1.pdf,../data/raw/audio/hindi_chandigarh_2025-06-23_1305.mp3,../data/raw/text/hindi_chandigarh_2025-06-23_1305.pdf,4.84
chennai,tamil,2025-06-23,645,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ccccccccc45.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tamil-645-5.pdf,../data/raw/audio/tamil_chennai_2025-06-23_645.mp3,../data/raw/text/tamil_chennai_2025-06-23_645.pdf,9.77
csnagar,marathi,2025-06-23,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/mm-aa-710-7.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/mm-aa-710-7.pdf,../data/raw/audio/marathi_csnagar_2025-06-23_710.mp3,../data/raw/text/marathi_csnagar_2025-06-23_710.pdf,9.84
csnagar,urdu,2025-06-23,900,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Chhatrapati-Sambhajinagar-9-7.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Chhatrapati-Sambhajinagar-9-6.pdf,../data/raw/audio/urdu_csnagar_2025-06-23_900.mp3,../data/raw/text/urdu_csnagar_2025-06-23_900.pdf,9.55
cuttack,odia,2025-06-23,705,https://www.newsonair.gov.in/wp-content/uploads/2025/06/odia-0705-11.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/odia-0705-11.pdf,../data/raw/audio/odia_cuttack_2025-06-23_705.mp3,../data/raw/text/odia_cuttack_2025-06-23_705.pdf,4.93
dehradun,hindi,2025-06-23,720,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Dehradun-720.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Dehradun-720.pdf,../data/raw/audio/hindi_dehradun_2025-06-23_720.mp3,../data/raw/text/hindi_dehradun_2025-06-23_720.pdf,10.35
dharwad,kannada,2025-06-23,705,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kan-0705-10.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kan-0705-9.pdf,../data/raw/audio/kannada_dharwad_2025-06-23_705.mp3,../data/raw/text/kannada_dharwad_2025-06-23_705.pdf,10.3
dibrugarh,assamese,2025-06-23,1800,https://www.newsonair.gov.in/wp-content/uploads/2025/06/dib-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Guwahati-5.pdf,../data/raw/audio/assamese_dibrugarh_2025-06-23_1800.mp3,../data/raw/text/assamese_dibrugarh_2025-06-23_1800.pdf,4.77
gangtok,bhutia,2025-06-23,1850,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Bhutia-1850-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Bhutia-1850-2.pdf,../data/raw/audio/bhutia_gangtok_2025-06-23_1850.mp3,../data/raw/text/bhutia_gangtok_2025-06-23_1850.pdf,5.07
gangtok,lepcha,2025-06-23,1845,https://www.newsonair.gov.in/wp-content/uploads/2025/06/lepcha-7.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/lepcha-8.pdf,../data/raw/audio/lepcha_gangtok_2025-06-23_1845.mp3,../data/raw/text/lepcha_gangtok_2025-06-23_1845.pdf,4.42
gangtok,nepali,2025-06-23,1840,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Nepali1840-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Nepali1840.pdf,../data/raw/audio/nepali_gangtok_2025-06-23_1840.mp3,../data/raw/text/nepali_gangtok_2025-06-23_1840.pdf,5.5
gorakhpur,bhojpuri,2025-06-23,1800,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Gorakg-Bhoj.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Gorakh-Bhoj-1.pdf,../data/raw/audio/bhojpuri_gorakhpur_2025-06-23_1800.mp3,../data/raw/text/bhojpuri_gorakhpur_2025-06-23_1800.pdf,5.15
gorakhpur,hindi,2025-06-23,720,https://www.newsonair.gov.in/wp-content/uploads/2025/06/GORAKHPUR-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/GORAKHPUR-6.pdf,../data/raw/audio/hindi_gorakhpur_2025-06-23_720.mp3,../data/raw/text/hindi_gorakhpur_2025-06-23_720.pdf,10.03
guwahati,assamese,2025-06-23,755,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Assamese-News-0755.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Assamese-Morning-Bulletin-0755.pdf,../data/raw/audio/assamese_guwahati_2025-06-23_755.mp3,../data/raw/text/assamese_guwahati_2025-06-23_755.pdf,4.57
hyderabad,telugu,2025-06-23,1310,https://www.newsonair.gov.in/wp-content/uploads/2025/06/REGIONAL-TELUGU-NEWS-BULLETIN-1310-HRS.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/REGIONAL-TELUGU-13.pdf,../data/raw/audio/telugu_hyderabad_2025-06-23_1310.mp3,../data/raw/text/telugu_hyderabad_2025-06-23_1310.pdf,8.59
hyderabad,urdu,2025-06-23,1750,https://www.newsonair.gov.in/wp-content/uploads/2025/06/URDU-1750-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/hhhhhhh.pdf,../data/raw/audio/urdu_hyderabad_2025-06-23_1750.mp3,../data/raw/text/urdu_hyderabad_2025-06-23_1750.pdf,9.11
imphal,manipuri,2025-06-23,730,https://www.newsonair.gov.in/wp-content/uploads/2025/06/imphal3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/imphal-9.pdf,../data/raw/audio/manipuri_imphal_2025-06-23_730.mp3,../data/raw/text/manipuri_imphal_2025-06-23_730.pdf,9.23
itanagar,english,2025-06-23,1950,https://www.newsonair.gov.in/wp-content/uploads/2025/06/iten-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/iten-5.pdf,../data/raw/audio/english_itanagar_2025-06-23_1950.mp3,../data/raw/text/english_itanagar_2025-06-23_1950.pdf,4.94
itanagar,hindi,2025-06-23,1945,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ithi-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ithi-3.pdf,../data/raw/audio/hindi_itanagar_2025-06-23_1945.mp3,../data/raw/text/hindi_itanagar_2025-06-23_1945.pdf,4.81
jaipur,hindi,2025-06-23,900,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jjjjjjj.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jaipurdf.pdf,../data/raw/audio/hindi_jaipur_2025-06-23_900.mp3,../data/raw/text/hindi_jaipur_2025-06-23_900.pdf,9.94
jaipur,rajasthani,2025-06-23,1845,https://www.newsonair.gov.in/wp-content/uploads/2025/06/rajj-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/rajj-1.pdf,../data/raw/audio/rajasthani_jaipur_2025-06-23_1845.mp3,../data/raw/text/rajasthani_jaipur_2025-06-23_1845.pdf,12.14
